route_operator,first,second
"ФОП Колоскова Н.А., адреса: вул.Семашко, 46, кв.90, м.Олександрія, Кіровоградська область, 28000, АД 065365",Олександрія,Кривий Ріг
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Снятин
"ФОП Поліковський В.С., адреса: вул. Львівська, 45, смт.Довбиш, Баранівський район, Житомирська область, 12724, АЕ 572349",Довбиш,Полонне
"ПП ""Яртранс"", адреса: вул. Гагаріна, буд. 5,, м.Хмельницький, АД 076623",Хмельницький,Яремча
"ПП Курганський В.П., адреса:вул.Яблунева, 1, кв.35, с.Олександрівка, Чернігівський район, Чернігівська область, 15584, АГ 587995",Київ,Корюківка
"Підприємство у формі ТОВ ВТП ""Санрайз"" ЛТД, адреса: пров. Дорожний, 4, м.Луцьк, 43023, АЕ 266844",Рівне,Луцьк
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ,Коростень
"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",Чернівці,Городенка
"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",Дніпропетровськ , Зачепилівка
"ПП ""ЛЮГ"", адреса: пров. Рибальський, буд.10-А, м.Полтава, 36020, АЕ 265082",Полтава,Черкаси
"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",Донецьк,Херсон
"Підприємство у формі ТОВ ВТП ""Санрайз"" ЛТД, адреса: пров. Дорожний, 4, м.Луцьк, 43023, АЕ 266844",Рівне,Луцьк
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ,Коростень
"ТОВ ""ЛАТК-0777"", адреса: просп. Повітрофлотський, буд. 72, м.Київ, АЕ 573027",Київ,Козацьке
"ТДВ ""АТП 10911"" адреса: Антрацитівське шосе, 36, м.Красний Луч, Луганська область; АД 033931",Красний Луч,Сніжне
"ФОП Налюшній І.О., адреса: вул.Кирова, 66, кв.49, м.Бердянськ, Запорізька область, 71100, АВ 532736",Жовті Води,Бердянськ
"ПАТ ""Одесавтотранс"", вул.Транспортна, 5, м.Одеса, 65039, АЕ 422950",Херсон,Іллічівськ
"Підприємство у формі ТОВ ВТП ""Санрайз"" ЛТД, адреса: пров. Дорожний, 4, м.Луцьк, 43023, АЕ 266844",Рівне,Луцьк
