route_operator,first,second
"ТОВ ""Талалаївське АТП 17450"", адреса: вул.Перемоги, 2, смт.Талалаївка, Талалаївський район, Чернігівська область, АЕ 572501",Харків,Талалаївка
"ФОП Попов О.М., адреса: вул.Кам'янецька, 108, кв.48, м.Хмельницький, АВ 545210",Хмельницький,Хмільник
"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",Канів,Київ
"ТОВ ""Аудит-Авто"", адреса: вул.Павлова, 21, м.Дніпропетровськ, АЕ 422908",Кривий Ріг,Запоріжжя
"ФОП Саян М.Р., адреса: просп. Гвардійський, буд.81, кв.60, м.Сєвєродонецьк, Луганська область, АД 033930",Сватове,Донецьк
"ПП ""Веттор"", адреса: просп. Миру, буд. 49-А, офіс 902, м.Чернігів, АГ 584653",Київ,Козелець
"ТОВ ""Миколаїв-Авто"", адреса:вул.Казарського, 4, м.Миколаїв, 54007, АВ 544368",Миколаїв,Херсон
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Житомир,Київ 
"ТОВ ""Гюнсел"", адреса: вул. Федора Ернста, 3б, м.Київ, АГ 593998",Київ,Харків
"ПП ""Кіровоград Авто Тур"", адреса: вул. Генерала Родимцева, буд.121-А, м.Кіровоград, АЕ 267506",Дніпропетровськ,Кіровоград
"ПП ""Веттор"", адреса: просп. Миру, буд. 49-А, офіс 902, м.Чернігів, АГ 584653",Київ,Козелець
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Яремча,Львів
"ФОП Новіков Л.А., адреса: Щорса,17 кв.2, м.Київ, АД 038995",Київ,Нововолинськ
"ВАТ ""Долинське АТП 13541"", адреса: вул.40 років Жовтня, 141, м.Долинська, Кіровоградська область, АЕ 188240",Долинська,Кривий Ріг
"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",Тернопіль,Чернівці
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Байдаково,Кременчук
"ТОВ ""Днепртуртранс"", адреса: вул. Мартенівська, буд. 46, м.Дніпропетровськ, АГ 592841",Дніпропетровськ,Кременчук
"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",Канів,Київ
"ПП ""Веттор"", адреса: просп. Миру, буд. 49-А, офіс 902, м.Чернігів, АГ 584653",Київ,Козелець
"ТОВ ""Кримські перевезення"", адреса: вул. Гоголя, 22, м.Сімферополь, АР Крим, АД 077461",Вінниця,Ялта
"ВАТ ""Долинське АТП 13541"", адреса: вул.40 років Жовтня, 141, м.Долинська, Кіровоградська область, АЕ 188240",Долинська,Кревий Ріг
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Байдаково,Кременчук
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Калуш,Журавно
"ТОВ ""Днепртуртранс"", адреса: вул. Мартенівська, буд. 46, м.Дніпропетровськ, АГ 592841",Дніпропетровськ,Кременчук
"ПрАТ ""Краматорське АТП-11410"", адреса:вул.Орджонікідзе, 6, м.Краматорськ, Донецька область, АГ 590921",Краматорськ,Харків
"ТОВ ""Автокар-777"", адреса: вул. Івана Кудрі, буд. 12, офіс 5, м.Київ, АЕ 572982",Волочиськ,Київ
"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",Заліщики,Львів
"ФОП Мельник О.Т., адреса: вул. 1 Грудня, 2, кв.20, м.Ковель, Волинська область, АВ 610956",Ковель,Тернопіль
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Онуфріївка,Кременчук
"ПрАТ ""Дубенське АТП 15606"", адреса: вул.Мирогощанська, 62, м.Дубно, Рівненська область, 35600, АЕ 267978",Дубно,Берестечко
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Калуш,Журавно
"ФОП Налюшній І.О., адреса: вул.Кирова, 66, кв.49, м.Бердянськ, Запорізька область, 71100, АВ 532736",Луганськ,Бердянськ
"ТОВ ""Днепртуртранс"", адреса: вул. Мартенівська, буд. 46, м.Дніпропетровськ, АГ 592841",Дніпропетровськ,Кременчук
"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",Ялта,Херсон
"ДП КП ""АТАСС"", адреса: вул. Ентузіастів, буд. 6, м.Славутич, Київська область, 07100, АЕ 421280",Славутич,Чернігів
"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",Канів,Київ
"ПрАТ ""Маріуполь-Авто"", адреса: вул.Макара Мазая, буд.6, м.Маріуполь, Донецька область, АГ 588928",Лисичанськ,Сєдове
"ФОП Дунаєв В.М., адреса: вул.Зернова, 53, кв.147, м.Харків, АВ 525745",Харків,Бердянськ
"ФОП Солод В.В., адреса: вул.Леніна, 111, кв.129, м.Монастирище, Черкаська область, АГ 584412",Умань,Гайворон
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Онуфріївка,Кременчук
"ПрАТ ""Дубенське АТП 15606"", адреса: вул.Мирогощанська, 62, м.Дубно, Рівненська область, 35600, АЕ 267978",Дубно,Берестечко
"ПрАТ ""Гадяцьке АТП 15337"", адреса: вул.Кіндратенка, 25, м.Гадяч, Полтавська область, АГ 593152",Гадян,Київ
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Калуш,Журавно
"ТОВ ""Днепртуртранс"", адреса: вул. Мартенівська, буд. 46, м.Дніпропетровськ, АГ 592841",Дніпропетровськ,Кременчук
"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",Черкаси,Київ
"ТДВ ""Новотроїцьке АТП 16541"", адреса: вул.Толбухіна, 7, смт.Новотроїцьке, Новотроїцький район, Херсонська область, АГ 592195",Жовті Води , Стрілкове
"ФОП Солод В.В., адреса: вул.Леніна, 111, кв.129, м.Монастирище, Черкаська область, АГ 584412",Умань,Гайворон
"ФОП Троян О.І., адреса: вул.Героїв Крут, буд.7, кв.43, м.Тернопіль, АЕ 420950",Тернопіль,Трускавець
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Онуфріївка,Кременчук
"ПрАТ ""Дубенське АТП 15606"", адреса: вул.Мирогощанська, 62, м.Дубно, Рівненська область, 35600, АЕ 267978",Дубно,Берестечко
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Калуш,Журавно
"ПП ""ВАСИЛЬКІВТРАНСАВТО"", адреса: Перший провулок Селянський, 30, м.Васильків, Васильківський рай, АГ 587931",Київ,Сокиряни
"ДП КП ""АТАСС"", адреса: вул. Ентузіастів, буд. 6, м.Славутич, Київська область, 07100, АЕ 421280",Славутич,Чернігів
"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",Канів,Київ
"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",Тернопіль,Чернівці
"МКП ""Транс-Екіпаж"", адреса: вул.Миру, 244-А, с.Заколоть, Дрогобицький район, Львівська область, АЕ 421788",Тернопіль,Трускавець
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",Київ,Миколаїв ч/з Первомайськ
"ФОП Солод В.В., адреса: вул.Леніна, 111, кв.129, м.Монастирище, Черкаська область, АГ 584412",Умань,Гайворон
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Житомир,Київ
"ФОП Ващенко Н.В., адреса: вул.Ковпака, 89, кв.23, м.Суми, АА 784957",Харків , Ромни
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Онуфріївка,Кременчук
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Калуш,Журавно
"ДП КП ""АТАСС"", адреса: вул. Ентузіастів, буд. 6, м.Славутич, Київська область, 07100, АЕ 421280",Славутич,Чернігів
"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",Канів,Київ
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТОВ ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",Херсон,Миколаїв
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Новоархангельськ,Одеса
"БПП ""Фаворит-Люкс"", адреса: вул.Гоголівська, буд.4, м.Житомир, АГ 584510",Житомир,Київ
"ФОП Мамедов Д.Г. , адреса: вул. Чайковського, буд. 10 В, м.Селидове, Донецька область, 58400, АЕ 572212",Полтава,Запоріжжя
"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",Тернопіль,Рівне
"ФОП Гончар С.О., адреса: вул.Єфремова, 40, м.Горлівка, Донецька область, 84635, АГ 509555",Стаханов,Бердянськ
"ТОВ ""М+М"", адреса:вул.Леніна, 188/2, м.Канів, Черкаська область, АЕ 421902",Канів,Київ
"ТОВ ""Чортківське АТП 16142"", адреса: вул. С.Бандери, 60, м.Чортків, Тернопільська область, АВ 531915",Чортків,Трускавець
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ФОП Хіміч В.Л., адреса: пр-т Шевченка, 4, кв.32, м.Звенигородка, Черкаська область, АГ 590457",Одеса,Черкаси
"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",Торез,Харків
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Житомир,Київ
"ДП ""Техавтосервіс"" ВАТ ""Чернігівавтосервіс"", адреса: вул.Борисенка, 39, м.Чернігів, АД 075986",Чернігів,Київ 
"ПрАТ ""Збаразьке АТП-16140"", адреса: вул.Грушевського, 109, м.Збараж, Тернопільська область, АГ 592080",Рівне,Тернопіль
"ВАТ ""Овруцьке АТП 11847"", адреса: вул. Б.Хмельницького,162, м.Овруч, Житомирська область, АЕ 189738",Київ,Овруч
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Житомир,Київ
"ФОП Романчук О.П., адреса: вул.Шевченка, 6, с.Корнин, Рівненський район, Рівненська область, АВ 610745",Рівне,Тернопіль
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Дніпропетровськ,Світловодськ
"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",Сніжне,Енергодар
"ДП ""ПРП ""АТАСС"" ВАТ ""АТАСС"", адреса: вул. Ентузіастів, 6, м.Славутич, Київська область, АГ 504782 ",Славутич,Чернігів
"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",Монастирище,Київ
"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",Чернівці,Хмельницький
"ТОВ фірма ""Ікарус"", адреса: вул.Сіриківська, 12, м.Харків, 61017, АЕ 504618",Харків,Київ
"БПП ""Фаворит-Люкс"", адреса: вул.Гоголівська, буд.4, м.Житомир, АГ 584510",Житомир,Київ
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Кременчук,Млинок
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, АГ 588977",Кривий Ріг,Комсомольськ
"ДП ""ПРП ""АТАСС"" ВАТ ""АТАСС"", адреса: вул. Ентузіастів, 6, м.Славутич, Київська область, АГ 504782 ",Славутич,Чернігів
"ФОП Ворончак В.В., адреса: вул.Коновальця, 51, м.Хоростків, Гусятинський район, Тернопільська область, АГ 593770",Хоростків,Львів
"ТОВ фірма ""Ікарус"", адреса: вул.Сіриківська, 12, м.Харків, 61017, АЕ 504618",Харків,Чернігів
"ПП ""Авто-Експерт"", адреса: вул. Калнишевського, буд. 34, м.Хмельницький, АЕ 268959",Хмельницький,Чернівці
"ТОВ ""АТП 2002"", адреса: вул. Льонокомбінатівська, буд. 9, кв. 140, м.Рівне, АЕ 420131",Рівне,Тернопіль
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Кременчук,Млинок
"ПП ""Колісніченко"", адреса: вул. Коцюбинського, 1-В, с.Радянське, Літинський район, Вінницька область, АД 033476",Київ,Хмільник
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Львів,Устилуг
"ТзОВ ""Гал-Всесвіт"", адреса: вул.Пластова, 10, м.Львів, 79056, AE 268954",Перегінське,Львів
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Калуш,Одеса
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ФОП Печенюк В.М., адреса: вул. Шевченка, буд. 35, с.Красноставці, Снятинський район, Івано-Франківська область, АГ 588715",Снятин,Чернівці
"ФОП Соломка С.В., адреса: вул.Піонерська, 30-А, м.Сарни, Рівненська область, АГ 590987",Сарни,Київ
"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",Сокиряни,Хмельницький
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Одеса,Миколаїв
"ФОП Прибиш П.Я., адреса:вул.Миру, 10, с.Острожець, Млинівський район, Рівненська область, 35100, АГ 584583",Луцьк,Демидівка
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Кременчук,Млинок
"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",Калуш,Протеси
"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",Дніпропетровськ,Кирилівка
"ФОП Крайничин А.І., адреса: вул. С. Будного, буд.26, кв.51, м.Тернопіль, АД 038729",Тернопіль,Луцьк
"ПП ""Експрес-АТП 11211"", адреса: вул. Нікопольська, 1, м.Марганець, Дніпропетровська область, АД 033775",Марганець,Запоріжжя
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Одеса,Бершадь
"ФОП Лозінська Л.С., адреса: вул.Гагаріна, 3, кв.64, м.Рівне, АЕ 573160",Кузнецовськ,Тернопіль
"ПП ""Веттор"", адреса: просп. Миру, буд. 49-А, офіс 902, м.Чернігів, АГ 584653",Остер,Київ
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ,Коростень
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Кременчук,Млинок
"ФОП Різник С.В., адреса: вул.Ювілейна,14, м.Лохвиця, Полтавська область, АЕ 268499",Лохвиця,Київ
"ФОП Яцура С.В., адреса: пров. Пролетарський, 19, м.Слов'янськ, Донецька область, АГ 504526",Краматорськ,Суми
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Луцьк,Вінниця
"ТОВ ""Гаджиев"", адреса: проспект Жовтневий , буд.21-М, м.Миколаїв, АЕ 266018",Дніпропетровськ,Очаків
"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",Київ,Коростень
"ФОП Гулаков Л.І., адреса: вул.Паризької Комуни,11, м.Глухів, Сумська область, АГ 591978",Глухів,Київ
"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",Тульчин,Одеса
"ФОП Мамедов Д.Г. , адреса: вул. Чайковського, буд. 10 В, м.Селидове, Донецька область, 58400, АЕ 572212",Донецьк,Луганськ
"ПрАТ ""Тульчинське АТП-10507"", адреса: вул.Польова,1, с.Нестерварка, Тульчинський район, Вінницька область,  АГ 504834",Тростянець,Київ
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Житомир,Київ 
"ФОП Калуженов В.В, адреса: вул.Роганська, 148, к.98, м.Харків, АГ 504996",Харків,Ромни
"ФОП Гончар С.О., адреса: вул.Єфремова, 40, м.Горлівка, Донецька область, 84635, АГ 509555",Шахтарськ,Кривий Ріг
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Тячів,Львів
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТОВ ""Автолайн Одеса"", адреса: провулок 2-й Артилерійський, буд.3, кв.41, м.Одеса, АВ 524755",Ладижин,Одеса
"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",Вінниця,Умань
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Житомир,Київ
"ТОВ ""Вулкан"", адреса: вул. Локтюхова, 3, м.Дніпродзержинськ, Дніпропетровська область, АГ 584690  ",Запоріжжя,Полтава
"ФОП Аракелян А.А., адреса: вул.Танкопія, 10, кв.83, м.Харків, АВ 562998",Харків,Білокуракине
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, АГ 588977",Інгулець,Скадовськ
"ФОП Веснянка В.М., адреса: вул.Центральна,44, с.Боратин, Луцький район, Волинська область, АЕ 420786",Диковини,Луцьк
"ПП ""Корецьавтотранс"", адреса: вул. Євгена Коновальця буд.80, м.Корець, Рівненська область, АЕ 188743",Рівне,Чернівці
"ФОП Кубрак С.В., адреса: вул.Ст.Халтуріна, 12 кв.27, м.Полтава, АА 784956",Харків,Лубни
"ПП ""УРСА-Транс"", адреса: вул. Велика Перспективна, буд. 25/34, кв.39, м.Кіровоград, АЕ 573010",Комсомольськ,Кіровоград
"ПП ""УРСА-Транс"", адреса: вул. Садова, буд. 61, м.Кропивницький, АЕ 573010",Бердянськ,Кропивницький
"ПрАТ ""Маріуполь-Авто"", адреса: вул.Макара Мазая, буд.6, м.Маріуполь, Донецька область, АГ 588928",Маріуполь,Кривий Ріг
"ФОП Горох І.П., адреса: вул. Львівське шосе, буд.14, кв.179, м.Хмельницький, АЕ 187993",Хмельницький,Рівне
"ФОП Веснянка В.М., адреса: вул.Центральна,44, с.Боратин, Луцький район, Волинська область, АЕ 420786",Диковини,Луцьк
"ПАТ ""Черкаське АТП 17127"", адреса: вул.Луценка, 12, м.Черкаси, АД 033221",Суми,Черкаси
"ТОВ ""Автотранспортне підприємство"", адреса: вул. Леніна, 93-А, м.Білокуракине, Луганська область, АД 076949  ",Білокуракине,Харків
"ТОВ ""Каховське АТП 16506"", адреса: вул.Мелітопольська, 72, м.Каховка, Херсонська область, 74800, АЕ 420304",Каховка,Одеса
"ФОП Нетребенко В.В., адреса: вул.Крута, буд.2, смт.Єрки, Катеринопільський район, Черкаська область, АГ 592205",Київ,Звенигородка
"ФОП Клеймьонов І.Ю., адреса: вул. Леніна, буд. 67, кв. 148, м.Комсомольськ, Комсомольський район, Полтавська область, АЕ 421869",Комсомольськ,Київ
"ФОП Яцура С.В., адреса: пров. Пролетарський, 19, м.Слов'янськ, Донецька область, АГ 504526",Херсон,Одеса
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ФОП Баммаєв Р.Г., адреса: вул.Садова, буд.38, смт.Новоархангельськ, Новоархангельський район, Кіровоградській області, АЕ 421977",Новоархангельськ,Київ
"ФОП Козловський П.В., адреса: вул.Тиха, буд.50-А, м.Чернігів, АД 062997",Миргород,Чернігів
"ПІК ""ААЗ Трейдінг Ко"", адреса: вул.Чистяківська, 30, м.Київ, АЕ 572514",Київ,Харків
"ТОВ ""Вулкан"", адреса: вул. Локтюхова, 3, м.Дніпродзержинськ, Дніпропетровська область, АГ 584690  ",Кіровоград,Дніпродзержинськ
"ПП ""А.Т.Н."", адреса: вул. Чистяківська, 2-А, кв.500, м.Київ, АГ 587717",Київ,Козелець
"ТОВ ""Автолінії Поділля"", адреса: вул. Стеценка, 75-А, м.Вінниця, АГ 587914",Житомир,Вінниця
"ПрАТ ""Краматорське АТП-11410"", адреса:вул.Орджонікідзе, 6, м.Краматорськ, Донецька область, АГ 590921",Краматорськ,Луганськ
"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",Хуст,Львів
"ТОВ ВКФ  ""Ігрек"", адреса: вул. Караваєва, 11, м.Дніпропетровськ, 49000, АВ 616034",Дніпропетровськ,Запоріжжя
"ВАТ ""В.Лепетиське АТП 16543"", адреса: вул.Некрасова, 49, смт.Велика Лепетиха, Великолепетиський район, Херсонська область, АЕ 189986",Велика Лепетиха,Миколаїв 
"ТОВ ""ЕЛІТ - АВТО ПЛЮС"", адреса: вул. Молодогвардійська, 11, м.Київ, АЕ 573261",Житомир,Київ
"ФОП Гулаков Л.І., адреса: вул.Паризької Комуни,11, м.Глухів, Сумська область, АГ 591978",Харків,Глухів
"ТДВ ""АТП 10706"", адреса: вул.Володимирська, 154, м.Ковель, Волинська область, АГ 593940",Ковель,Тернопіль
"ФОП  Вовкодав П.Г., адреса: пров.Калиновий, 12, смт.Новоархангельськ, Новоархангельський район, Кіровоградська область, АВ 610852",Новоархангельськ,Звенигородка
"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",Кременчук,Кіровоград
"ПП ""А.Т.Н."", адреса: вул. Чистяківська, 2-А, кв.500, м.Київ, АГ 587717",Київ,Козелець
"ТОВ ""Мівас"", адреса: вул. Садова 4, м.Славута, Хмельницька область, АЕ 421905",Славутич,Рівне
"ТОВ ""Автолінії Поділля"", адреса: вул. Стеценка, 75-А, м.Вінниця, АГ 587914",Житомир,Вінниця
"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",Волочиськ,Чернівці
"ТОВ ""Каховське АТП 16506"", адреса: вул.Мелітопольська, 72, м.Каховка, Херсонська область, 74800, АЕ 420304",Нова Каховка,Сімферополь
"ТОВ ""Север-Авто"", адреса: вул.Тамбовська, 50, м.Донецьк, АЕ 572552",Ободівка,Київ
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Житомир,Київ 
"ТОВ ""Димерське АТП"", адреса: вул. Шевченка, 89, смт.Димер, Вишгородський район, Київська область, АЕ 265769",Десна,Київ
"ФОП Курінна Т.В., адреса: вул.М.Чураївни, буд.9, кв.120, м.Полтава, АД 076957",Полтава,Дніпропетровськ
"ТОВ ""АТП-15307"", адреса: вул. Київська, буд. 65/2, м.Кременчук, Полтавська область, АЕ 266557",Кременчук,Кіровоград
"ФОП Козловський П.В., адреса: вул.Тиха, буд.50-А, м.Чернігів, АД 062997",Чернігів,Черкаси
"ПП ""А.Т.Н."", адреса: вул. Чистяківська, 2-А, кв.500, м.Київ, АГ 587717",Київ,Козелець
"ТОВ ""Мівас"", адреса: вул. Садова 4, м.Славута, Хмельницька область, АЕ 421905",Славутич,Рівне
"ФОП Яцура С.В., адреса: пров. Пролетарський, 19, м.Слов'янськ, Донецька область, АГ 504526",Луганськ,Слов'янськ
"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",Житомир,Луцьк
"ТОВ ""Димерське АТП"", адреса: вул. Шевченка, 89, смт.Димер, Вишгородський район, Київська область, АЕ 265769",Десна,Київ
"ФОП Калінін А.М., адреса: вул.Б.Михайлова, 12, кв.3, м.Севастополь, АД 033939",Київ,Севастополь
"ФОП Мельник О.Т., адреса: вул. 1 Грудня, 2, кв.20, м.Ковель, Волинська область, АВ 610956",Ковель,Київ
"ПП ""А.Т.Н."", адреса: вул. Чистяківська, 2-А, кв.500, м.Київ, АГ 587717",Київ,Козелець
"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",Чернівці,Коломия
"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",Луцьк,Кузнецовськ
"ТДВ ""Бережаниавтотранс"", адреса: вул.Тернопільська, 9, м.Бережани, Тернопільська область, АГ 590835",Бережани,Трускавець
"ФОП Мороз Л.Д., адреса: вул.Кузнецова,22, с.Дерев'яне, Рівненський район, Рівненська область, АВ 616885",Рівне,Довгошиї
"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",Черкаси,Київ
"ТОВ ""Авто-Гарант-08"", адреса: вул. Космонавтів, буд. 60, с.Дівички, Переяслав-Хмельницький район, Київська область. АЕ 188382",Прилуки,Яготин
"ПП ""ЕТАЛОН ПАС СЕРВІС"", адреса: вул. Павленківська, 18, кв.319, м.Полтава, АЕ 572787",Полтава,Харків
"ФОП Мороз Л.Д., адреса: вул.Кузнецова,22, с.Дерев'яне, Рівненський район, Рівненська область, АВ 616885",Рівне,Довгошиї
"ПАТ ""Горохівське АТП 10764"", адреса: вул.Грушевського, 33, м.Горохів, Волинська область, АД 062844",Щацьк,Тернопіль
"ПрАТ ""Тульчинське АТП-10507"", адреса: вул.Польова,1, с.Нестерварка, Тульчинський район, Вінницька область, 23600, АГ 504834",Житомир,Тульчин
"ФОП Прибиш П.Я., адреса:вул.Миру, 10, с.Острожець, Млинівський район, Рівненська область, 35100, АГ 584583",Луцьк,Кузнецовськ
"ФОП Чижовський І.В., адреса: вул.Заболотного, буд.58, кв.44, м.Київ, АГ 504883",Київ,Черкаси
"ФОП Саян М.Р., адреса: просп. Гвардійський, буд.81, кв.60, м.Сєвєродонецьк, Луганська область, АД 033930",Рубіжне,Донецьк
