arrival,bus_age,bus_comfort_level,company_id,coords,count,departure,drives_per_day,id,license_data,marchRoute,number_of_buses,regulative_institution,route_regularity
ТОРЧИН,1988   1991     2004       2005    2010,"М2, М3, А, В,І,ІІ, ІІІ",8870865272638682112,"[[50.31928, 29.063658], [50.51125, 28.9606]]",1,КОРОСТИШІВ,,6192,з 18 жовтня  2012 року по 17 жовтня 2017 року,КОРОСТИШІВ - ТОРЧИН,2,Житомирська область,щоденно
ДОЛИНІВКА,1988   1991     2004       2005    2010,"М2, М3, А, В,І,ІІ, ІІІ",8870865272638682112,"[[50.31928, 29.063658], [50.16854, 29.443283]]",1,КОРОСТИШІВ,,6194,з 18 жовтня  2012 року по 17 жовтня 2017 року,КОРОСТИШІВ - ДОЛИНІВКА,2,Житомирська область,щоденно
ЗАРІЧАНИ,2010       2013       2014   2015,"М2, М3, А, В,І,ІІ, ІІІ",2993862168716477952,"[[50.26487, 28.67669], [50.2321284, 28.6473701]]",1,Житомир,,6195,з 13 грудня 2013 року по 12 грудня 2018 року,Житомир - ЗАРІЧАНИ,6,Житомирська область,Щоденно                         (Маршрутне таксі)
РУДЕНЬКА,"2013, 2012 роки ","М2, М3, А, В,І,ІІ, ІІІ",2993862168716477952,"[[50.26487, 28.67669], [50.1649231, 28.3328005]]",1,Житомир,,6197,з 18.07.2017р. по 17.07.2022 ,Житомир - РУДЕНЬКА,2,Житомирська область,Щоденно
СТУДЕНИЦЯ                                    із заїздом в с. Руденька,2011 рік ,"М2, М3, А, В,І,ІІ, ІІІ",2993862168716477952,"[[50.26487, 28.67669], [50.3408997, 28.8947275]]",1,Житомир,,6198,з 29.11.2016р. по 28.11.2021 ,Житомир - СТУДЕНИЦЯ                                    із заїздом в с. Руденька,2,Житомирська область,Щоденно
СЛОБІДКА,"2007, 2010 роки ","М2, М3, А, В,І,ІІ, ІІІ",2993862168716477952,"[[50.26487, 28.67669], [50.449784, 28.892392]]",1,Житомир,,6200,з 17.10.2015р. по 16.10.2020 ,Житомир - СЛОБІДКА,2,Житомирська область,3 дні на тижд. 1 об.рейс у літ. період  / щоденно -  2 об. р.
КОРОСТИШІВ,2008       2013       2015,"М2, М3, А, В,І,ІІ, ІІІ",2993862168716477952,"[[50.26487, 28.67669], [50.31928, 29.063658]]",1,Житомир,,6205,з 28 жовтня 2015 року по 27 жовтня 2020 року,Житомир - КОРОСТИШІВ,2,Житомирська область,щоденно
ТОРЧИН ч/з Черняхів,2007,"М2, М3, В, ІІ, ІІІ",2993862168716477952,"[[50.26487, 28.67669], [50.380426, 28.7485071]]",1,Житомир,,6207,з 01.09.2017р. по 31.08.2022 ,Житомир - ТОРЧИН ч/з Черняхів,2,Житомирська область,щоденно
ДУБОВЕЦЬ ч/з Черемошне,1992    2006      2008         2009,"М2, М3, А, В,І,ІІ, ІІІ",1387113243797248256,"[[50.26487, 28.67669], [50.348997, 28.44549]]",1,Житомир,,6210,з 20 червня 2015 року по 19 червня 2020 року,Житомир - ДУБОВЕЦЬ ч/з Черемошне,2,Житомирська область,щоденно
ДАВИДІВКА,2008,"М2, М3, А, В,І,ІІ, ІІІ",8424039820949182464,"[[50.26487, 28.67669], [50.96932, 27.4586]]",1,Житомир,,6211,з 09 червня 2016 року по 08 червні 2021 року,Житомир - ДАВИДІВКА,2,Житомирська область,щоденно
