coords,lat,lng,name
"['48.80332', '26.04347']",48.80332,26.04347,"Борщів, Україна"
"['51.29405', '25.53436']",51.29405,25.53436,"Маневичі, Україна"
"['49.01229', '38.37967']",49.01229,38.37967,"Рубіжне, Україна"
"['47.94604', '23.87035']",47.94604,23.87035,"Солотвино, Україна"
"['49.07866', '30.96755']",49.07866,30.96755,"Звенигородка, Україна"
"['50.26732', '32.94196']",50.26732,32.94196,"Чорнухи, Україна"
"['48.29235', '39.73921']",48.29235,39.73921,"Краснодон, Україна"
"['48.53426', '35.87098']",48.53426,35.87098,"Павлоград, Україна"
"['50.02314', '33.94144']",50.02314,33.94144,"Великі Сорочинці, Україна"
"['50.92731', '30.76048']",50.92731,30.76048,"Десна, Україна"
"['51.4213', '26.14469']",51.4213,26.14469,"Володимирець, Україна"
"['48.05896', '32.16641']",48.05896,32.16641,"Бобринець, Україна"
"['51.81865', '31.94504']",51.81865,31.94504,"Щорс, Україна"
"['49.20875', '37.24849']",49.20875,37.24849,"Ізюм, Україна"
"[None, None]",,,"Побузьке, Україна"
"['49.28656', '35.76153']",49.28656,35.76153,"Кегичівка, Україна"
"['48.23331', '38.21137']",48.23331,38.21137,"Єнакієве, Україна"
"['50.31036', '34.89879']",50.31036,34.89879,"Охтирка, Україна"
"['50.75104', '33.47471']",50.75104,33.47471,"Ромни, Україна"
"['51.76877', '32.24813']",51.76877,32.24813,"Корюківка, Україна"
"['50.42814', '25.33619']",50.42814,25.33619,"Демидівка, Україна"
"['49.55832', '30.49259']",49.55832,30.49259,"Тараща, Україна"
"['49.53472', '26.14585']",49.53472,26.14585,"Підволочиськ, Україна"
"['48.73407', '31.13403']",48.73407,31.13403,"Надлак, Україна"
"['46.85262', '31.38802']",46.85262,31.38802,"Березанка, Україна"
"['48.38289', '28.86622']",48.38289,28.86622,"Крижопіль, Україна"
"['49.48639', '29.26361']",49.48639,29.26361,"Погребище, Україна"
"['46.84842', '34.38044']",46.84842,34.38044,"Нижні Сірогози, Україна"
"['48.9733', '24.00944']",48.9733,24.00944,"Долина, Україна"
"['47.75', '38.5']",47.75,38.5,"Амвросїівка, Україна"
"['47.55699', '37.07655']",47.55699,37.07655,"Красна Поляна, Україна"
"['49.01502', '31.06211']",49.01502,31.06211,"Ватутіне, Україна"
"['49.0729', '26.1848']",49.0729,26.1848,"Гусятин, Україна"
"['49.38009', '35.44186']",49.38009,35.44186,"Красноград, Україна"
"['48.31071', '25.09575']",48.31071,25.09575,"Косів, Україна"
"['48.41217', '35.86536']",48.41217,35.86536,"Троїцьке, Україна"
"['47.63543', '34.62769']",47.63543,34.62769,"Марганець, Україна"
"['49.86249', '28.21449']",49.86249,28.21449,"Іванопіль, Україна"
"[None, None]",,,"Плужне, Україна"
"['49.5183', '23.19752']",49.5183,23.19752,"Самбір, Україна"
"['45.89886', '34.8781']",45.89886,34.8781,"Стрілкове, Україна"
"['48.74312', '24.16939']",48.74312,24.16939,"Ясень, Україна"
"['44.58883', '33.5224']",44.58883,33.5224,"Севастополь, Україна"
"['49.27837', '23.50618']",49.27837,23.50618,"Трускавець, Україна"
"['48.73963', '39.2323']",48.73963,39.2323,"Щастя, Україна"
"['49.25229', '30.82946']",49.25229,30.82946,"Лисянка, Україна"
"['51.37893', '28.34967']",51.37893,28.34967,"Словечне, Україна"
"['49.75764', '27.20342']",49.75764,27.20342,"Старокостянтинів, Україна"
"['48.63328', '38.37804']",48.63328,38.37804,"Попасна, Україна"
"['49.10441', '25.91026']",49.10441,25.91026,"Копичинці, Україна"
"['48.43528', '24.74725']",48.43528,24.74725,"Лючки, Україна"
"['47.93548', '29.61982']",47.93548,29.61982,"Балта, Україна"
"['47.81777', '31.18263']",47.81777,31.18263,"Южноукраїнськ, Україна"
"['49.06254', '25.38798']",49.06254,25.38798,"Бучач, Україна"
"['50.86258', '32.39425']",50.86258,32.39425,"Ічня, Україна"
"['48.81143', '29.38977']",48.81143,29.38977,"Гайсин, Україна"
"['47.75305', '29.53205']",47.75305,29.53205,"Котовськ, Україна"
"['46.084', '32.52955']",46.084,32.52955,"Лазурне, Україна"
"['48.71278', '32.66472']",48.71278,32.66472,"Знам'янка, Україна"
"['48.68913', '26.58867']",48.68913,26.58867,"Кам'янець, Україна"
"['49.66644', '32.32932']",49.66644,32.32932,"Чорнобай, Україна"
"['48.88937', '36.31755']",48.88937,36.31755,"Лозова, Україна"
"['48.04911', '23.42113']",48.04911,23.42113,"Вишково, Україна"
"[None, None]",,,"Лісова Пісня, Україна"
"['49.01979', '31.47027']",49.01979,31.47027,"Мар'янівка, Україна"
"['45.20091', '33.36655']",45.20091,33.36655,"Євпаторія, Україна"
"[None, None]",,,"Грималів, Україна"
"[None, None]",,,"Тюдів, Україна"
"['47.52366', '35.9943']",47.52366,35.9943,"Білогір'я, Україна"
"['49.22242', '31.88714']",49.22242,31.88714,"Сміла, Україна"
"['48.36782', '29.51726']",48.36782,29.51726,"Бершадь, Україна"
"['52.06314', '31.18567']",52.06314,31.18567,"Добровеличківка, Україна"
"['50.31981', '34.60894']",50.31981,34.60894,"Качанівка, Україна"
"['48.24801', '25.19452']",48.24801,25.19452,"Вижниця, Україна"
"['48.25868', '25.17946']",48.25868,25.17946,"Кути, Україна"
"[None, None]",,,"Берщадь, Україна"
"['48.30904', '28.26982']",48.30904,28.26982,"Радянське, Україна"
"['49.66832', '32.04047']",49.66832,32.04047,"Золотоноша, Україна"
"['52.17827', '32.58183']",52.17827,32.58183,"Семенівка, Україна"
"['48.18298', '29.48243']",48.18298,29.48243,"Ольгопіль, Україна"
"['48.88909', '26.85636']",48.88909,26.85636,"Дунаївці, Україна"
"['48.08331', '39.37764']",48.08331,39.37764,"Ровеньки, Україна"
"['51.56638', '32.95861']",51.56638,32.95861,"Короп, Україна"
"[None, None]",,,"Верхній Березів, Україна"
"['50.02248', '29.05821']",50.02248,29.05821,"Лисівка, Україна"
"['50.95937', '28.63855']",50.95937,28.63855,"Коростень, Україна"
"['48.04782', '37.92576']",48.04782,37.92576,"Макіївка, Україна"
"['48.18127', '37.34801']",48.18127,37.34801,"Маринівка, Україна"
"['50.06864', '34.75862']",50.06864,34.75862,"Котельва, Україна"
"['50.93311', '29.09513']",50.93311,29.09513,"Кам'янка, Україна"
"['51.76535', '25.5142']",51.76535,25.5142,"Любешів, Україна"
"['48.66566', '29.74504']",48.66566,29.74504,"Теплик, Україна"
"['50.69296', '28.63446']",50.69296,28.63446,"Борова, Україна"
"[None, None]",,,"Радьковські Піски, Україна"
"['50.11947', '26.82125']",50.11947,26.82125,"Ізяслав, Україна"
"['47.25053', '34.33797']",47.25053,34.33797,"Верхній Рогачик, Україна"
"[None, None]",,,"Даріївка, Україна"
"['51.29878', '30.91968']",51.29878,30.91968,"Гончарівське, Україна"
"['48.91049', '33.78557']",48.91049,33.78557,"Деріївка, Україна"
"['50.47438', '24.28288']",50.47438,24.28288,"Сокаль, Україна"
"['48.13219', '30.08247']",48.13219,30.08247,"Саврань, Україна"
"['46.66499', '31.20804']",46.66499,31.20804,"Коблеве, Україна"
"['51.42373', '26.22811']",51.42373,26.22811,"Дубівка, Україна"
"['49.80939', '30.11209']",49.80939,30.11209,"Біла Церква, Україна"
"['47.77714', '29.2764']",47.77714,29.2764,"Бурилове, Україна"
"['51.86683', '32.22397']",51.86683,32.22397,"Турівка, Україна"
"['50.39082', '32.0602']",50.39082,32.0602,"Гречана гребля, Україна"
"['47.56731', '35.78575']",47.56731,35.78575,"Оріхів, Україна"
"['47.31969', '33.30373']",47.31969,33.30373,"Велика Олександрівка, Україна"
"['50.08791', '25.15027']",50.08791,25.15027,"Броди, Україна"
"['50.77458', '35.25965']",50.77458,35.25965,"Краснопілля, Україна"
"['46.30495', '30.65478']",46.30495,30.65478,"Іллічівськ, Україна"
"['48.9097', '37.02051']",48.9097,37.02051,"Барвінкове, Україна"
"['49.38468', '24.14254']",49.38468,24.14254,"Жидачів, Україна"
"[None, None]",,,"Сирове, Україна"
"['47.30783', '32.84993']",47.30783,32.84993,"Березнегувате, Україна"
"['50.27975', '31.76246']",50.27975,31.76246,"Яготин, Україна"
"['49.5287', '24.77503']",49.5287,24.77503,"Нараїв, Україна"
"['51.81938', '34.02691']",51.81938,34.02691,"Первомайське, Україна"
"['50.52175', '30.25055']",50.52175,30.25055,"Ірпінь, Україна"
"['49.07717', '27.68256']",49.07717,27.68256,"Бар, Україна"
"['51.48211', '23.85904']",51.48211,23.85904,"Світязь, Україна"
"['51.6683', '24.5303']",51.6683,24.5303,"Ратне, Україна"
"['51.3246', '28.80351']",51.3246,28.80351,"Овруч, Україна"
"['51.79419', '33.05582']",51.79419,33.05582,"Свердловка, Україна"
"['50.74693', '31.3948']",50.74693,31.3948,"Бобровиця, Україна"
"['51.08744', '30.96883']",51.08744,30.96883,"Борсуків, Україна"
"['51.1579', '31.04331']",51.1579,31.04331,"Вовчок, Україна"
"['48.39869', '37.84787']",48.39869,37.84787,"Дзержинськ, Україна"
"['47.66763', '34.05957']",47.66763,34.05957,"Орджонікідзе, Україна"
"['49.25426', '26.26896']",49.25426,26.26896,"Сатанів, Україна"
"['49.17268', '32.37887']",49.17268,32.37887,"Медведівка, Україна"
"[None, None]",,,"Рудник Леніна, Україна"
"['45.45518', '29.26367']",45.45518,29.26367,"Кілія, Україна"
"['47.83716', '30.25976']",47.83716,30.25976,"Любашівка, Україна"
"['49.409', '24.60927']",49.409,24.60927,"Рогатин, Україна"
"['49.92045', '27.75918']",49.92045,27.75918,"Любар, Україна"
"[None, None]",,,"Довга Пристань, Україна"
"['48.57768', '39.71944']",48.57768,39.71944,"Макарів, Україна"
"[None, None]",,,"Потичище, Україна"
"['51.83158', '30.7174']",51.83158,30.7174,"Радуль, Україна"
"['51.80363', '25.51515']",51.80363,25.51515,"Підкормілля, Україна"
"['50.37332', '27.98742']",50.37332,27.98742,"Довбиш, Україна"
"['48.78105', '31.64204']",48.78105,31.64204,"Новомиргород, Україна"
"['46.11667', '32.28333']",46.11667,32.28333,"Залізний Порт, Україна"
"['48.4379', '34.32061']",48.4379,34.32061,"Любомирівка, Україна"
"['49.00687', '31.39471']",49.00687,31.39471,"Шпола, Україна"
"[None, None]",,,"Чернгів, Україна"
"['48.37889', '34.04201']",48.37889,34.04201,"Катеринопіль, Україна"
"['48.09875', '29.12463']",48.09875,29.12463,"Кодима, Україна"
"['49.66484', '25.14097']",49.66484,25.14097,"Зборів, Україна"
"['46.61283', '31.54982']",46.61283,31.54982,"Очаків, Україна"
"['49.72752', '33.98334']",49.72752,33.98334,"Сагайдак, Україна"
"['49.7901', '32.69941']",49.7901,32.69941,"Оржиця, Україна"
"['45.03677', '35.37789']",45.03677,35.37789,"Феодосія, Україна"
"['48.32991', '24.82052']",48.32991,24.82052,"Космач, Україна"
"['49.56231', '29.48282']",49.56231,29.48282,"Бабинці, Україна"
"['47.85469', '34.11198']",47.85469,34.11198,"Іванівка, Україна"
"['51.25464', '32.4269']",51.25464,32.4269,"Борзна, Україна"
"[None, None]",,,"Куп'янськ, Україна"
"['47.33351', '29.87327']",47.33351,29.87327,"Затишшя, Україна"
"['49.03705', '28.11201']",49.03705,28.11201,"Жмеринка, Україна"
"['50.84641', '31.82574']",50.84641,31.82574,"Шатура, Україна"
"['51.8713', '34.14621']",51.8713,34.14621,"Смоліне, Україна"
"['48.63799', '35.24548']",48.63799,35.24548,"Новомосковськ, Україна"
"['49.55849', '38.45361']",49.55849,38.45361,"Маньківка, Україна"
"['50.75095', '28.72387']",50.75095,28.72387,"Іршанськ, Україна"
"['51.2796', '27.214']",51.2796,27.214,"Рокитне, Україна"
"['48.75587', '28.07507']",48.75587,28.07507,"Шаргород, Україна"
"['51.57438', '26.56503']",51.57438,26.56503,"Дубровиця, Україна"
"['51.49233', '25.27986']",51.49233,25.27986,"Надрічне, Україна"
"['45.58751', '32.84501']",45.58751,32.84501,"Міжводне, Україна"
"['48.46503', '26.83457']",48.46503,26.83457,"Кельменці, Україна"
"['49.25867', '24.62777']",49.25867,24.62777,"Бурштин, Україна"
"['48.43198', '22.20555']",48.43198,22.20555,"Чоп, Україна"
"['49.9532', '29.45265']",49.9532,29.45265,"Попільня, Україна"
"[None, None]",,,"Великі Дедеркали, Україна"
"['47.11448', '32.97518']",47.11448,32.97518,"Калінінське, Україна"
"['48.21354', '30.01558']",48.21354,30.01558,"Завалля, Україна"
"['50.40519', '33.40582']",50.40519,33.40582,"Червонозаводське, Україна"
"['49.60318', '27.61909']",49.60318,27.61909,"Стара синява, Україна"
"['51.22482', '27.65228']",51.22482,27.65228,"Олевськ, Україна"
"['48.9215', '24.70972']",48.9215,24.70972,"Івано-Франківськ, Україна"
"['48.85149', '26.19909']",48.85149,26.19909,"Скала-Подільська, Україна"
"['50.35269', '30.95501']",50.35269,30.95501,"Бориспіль, Україна"
"['48.6845', '26.58559']",48.6845,26.58559,"Кам'янець-Подільський, Україна"
"['48.44598', '27.7982']",48.44598,27.7982,"Могилів-Подільський, Україна"
"['46.07251', '30.46538']",46.07251,30.46538,"Затока, Україна"
"['50.59412', '27.6165']",50.59412,27.6165,"Новоград-Волинський, Україна"
"['50.80697', '27.31676']",50.80697,27.31676,"Городниця, Україна"
"[None, None]",,,"Новоград-Сіверський, Україна"
"[None, None]",,,"Росашани, Україна"
"['51.62412', '24.95864']",51.62412,24.95864,"Камінь, Україна"
"['50.50186', '24.76149']",50.50186,24.76149,"Горохів, Україна"
"['52.04545', '33.94517']",52.04545,33.94517,"Дружба, Україна"
"['48.50322', '24.83903']",48.50322,24.83903,"Марковка, Україна"
"['51.62412', '24.95864']",51.62412,24.95864,"Камінь-Каширський, Україна"
"['49.12179', '24.72578']",49.12179,24.72578,"Галич, Україна"
"['49.08909', '25.17327']",49.08909,25.17327,"Монастириська, Україна"
"['49.41894', '31.25865']",49.41894,31.25865,"Корсунь-Шевченківський, Україна"
