,Lat,Long,new_name,old_name
105,48.1793,23.29909,Хуст,"Хуст, Україна"
106,50.72576,24.16265,Нововолинськ,"Нововолинськ, Україна"
107,50.44,24.36277,Романівка,"Романівка, Україна"
109,48.13954,38.93715,Красний Луч,"Красний Луч, Україна"
110,50.41694,25.73432,Дубно,"Дубно, Україна"
111,48.54553,26.10526,Горошова,"Горошова, Україна"
112, 48.612822,22.293326,Ужгород,"Ужгород, Україна"
113,48.8532,37.6053001,Слов'янськ,"Слов'янськ, Україна"
114,51.33795,26.60191,Сарни,"Сарни, Україна"
115,48.64308,31.63657,Мала Виска,"Мала Виска, Україна"
116,46.37592,35.36753,Кирилівка,"Кирилівка, Україна"
117,50.00509,25.51183,Почаїв,"Почаїв, Україна"
118,47.43694,35.27417,Василівка,"Василівка, Україна"
119,49.66357,25.77616,Збараж,"Збараж, Україна"
120,50.58518,34.4849,Лебедин,"Лебедин, Україна"
121,50.34004,26.64171,Нетішин,"Нетішин, Україна"
122,48.64331,25.73794,Заліщики,"Заліщики, Україна"
123,48.53115,25.03649,Коломия,"Коломия, Україна"
124,49.01187,24.37308,Калуш,"Калуш, Україна"
125,50.09693,25.72459,Кременець,"Кременець, Україна"
126,48.44942,33.68629,Авангард,"Авангард, Україна"
127,51.5835,27.34463,Березове,"Березове, Україна"
128,49.32509,28.08094,Літин,"Літин, Україна"
129,48.03876,38.59685,Торез,"Торез, Україна"
130,51.55297,24.38196,Дубечне,"Дубечне, Україна"
131,47.57119,34.39637,Нікополь,"Нікополь, Україна"
132,48.807,24.53834,Богородчани,"Богородчани, Україна"
133,48.83716,27.27434,Нова Ушиця,"Нова Ушиця, Україна"
134,49.0440881,37.578484,Святогірськ,"Святогірськ, Україна"
135,49.89928,28.60235,Бердичів,"Бердичів, Україна"
136,49.43544,25.15086,Козова,"Козова, Україна"
137,51.67822,33.9162,Глухів,"Глухів, Україна"
138,49.80311,28.72132,Глухівці,"Глухівці, Україна"
139,50.18545,27.06365,Шепетівка,"Шепетівка, Україна"
140,49.27832,38.91069,Старобільськ,"Старобільськ, Україна"
141,48.74838,30.22184,Умань,"Умань, Україна"
142,49.75182,31.46004,Канів,"Канів, Україна"
143,51.56351,26.90628,Озера,"Озера, Україна"
144,48.44648,24.55019,Яремча,"Яремча, Україна"
145,49.03324,24.02589,Долинська,"Долинська, Україна"
146,48.65803,30.81821,Новоархангельськ,"Новоархангельськ, Україна"
147,48.56818,38.64352,Стаханов,"Стаханов, Україна"
148,49.01709,25.79804,Чортків,"Чортків, Україна"
149,49.21114,25.92165,Хоростків,"Хоростків, Україна"
150,48.11503,39.09128,Антрацит,"Антрацит, Україна"
151,48.81631,24.19026,Перегінське,"Перегінське, Україна"
152,48.44692,25.56937,Снятин,"Снятин, Україна"
153,48.44747,27.41678,Сокиряни,"Сокиряни, Україна"
154,51.3509,25.84738,Кузнецовськ,"Кузнецовськ, Україна"
155,50.36776,33.26024,Лохвиця,"Лохвиця, Україна"
156,49.78001,31.35298,Тростянець,"Тростянець, Україна"
157,48.05657,38.43826,Шахтарськ,"Шахтарськ, Україна"
158,48.68496,29.23679,Ладижин,"Ладижин, Україна"
159,49.04894,33.24106,Світловодськ,"Світловодськ, Україна"
160,50.37112,33.99099,Гадяч,"Гадяч, Україна"
161,50.12994,25.25576,Радивилів,"Радивилів, Україна"
162,47.98305,33.266,Інгулець,"Інгулець, Україна"
163,49.01018,33.63567,Комсомольськ,"Комсомольськ, Україна"
164,51.61332,27.13338,Старе село,"Старе село, Україна"
165,49.5341,38.73067,Білокуракине,"Білокуракине, Україна"
166,47.17572,33.94362,Велика Лепетиха,"Велика Лепетиха, Україна"
167,51.21526,24.70867,Ковель,"Ковель, Україна"
168,49.06802,33.42041,Кременчук,"Кременчук, Україна"
169,48.40514,29.24775,Ободівка,"Ободівка, Україна"
170,49.45,24.93333,Бережани,"Бережани, Україна"
171,49.60321,32.86761,Оболонь,"Оболонь, Україна"
172,45.34929,28.84079,Ізмаїл,"Ізмаїл, Україна"
173,51.4975426,23.9323386,Щацьк,"Щацьк, Україна"
174,49.5464,39.08987,Новопсков,"Новопсков, Україна"
175,51.5217,32.21568,Мена,"Мена, Україна"
176,50.12157,26.11424,Шумськ,"Шумськ, Україна"
177,47.49865,34.6574,Енергодар,"Енергодар, Україна"
178,49.66968,27.01354,Красилів,"Красилів, Україна"
179,50.39105,24.23514,Червоноград,"Червоноград, Україна"
180,50.12424,27.51087,Полонне,"Полонне, Україна"
181,48.52254,36.08256,Тернівка,"Тернівка, Україна"
182,48.04701,35.13977,Ульяновка,"Ульяновка, Україна"
183,50.98478,32.92078,Гайворон,"Гайворон, Україна"
184,51.89085,31.59741,Городня,"Городня, Україна"
185,48.43919,22.71779,Мукачево,"Мукачево, Україна"
186,50.77233,29.23833,Малин,"Малин, Україна"
187,50.50276,31.78492,Згурівка,"Згурівка, Україна"
188,49.15166,35.87198,Сахновщина,"Сахновщина, Україна"
189,49.28672,23.43238,Борислав,"Борислав, Україна"
190,48.6338857,26.0213168,Колодрібка,"Колодрібка, Україна"
191,49.15652,23.87232,Моршин,"Моршин, Україна"
192,49.10479,29.21773,Іллінці,"Іллінці, Україна"
193,48.6348,24.56936,Надвірна,"Надвірна, Україна"
194,48.80332,26.04347,Борщів,"Борщів, Україна"
195,51.29405,25.53436,Маневичі,"Маневичі, Україна"
196,49.01229,38.37967,Рубіжне,"Рубіжне, Україна"
197,47.94604,23.87035,Солотвино,"Солотвино, Україна"
198,49.07866,30.96755,Звенигородка,"Звенигородка, Україна"
199,50.26732,32.94196,Чорнухи,"Чорнухи, Україна"
200,48.29235,39.73921,Краснодон,"Краснодон, Україна"
201,48.53426,35.87098,Павлоград,"Павлоград, Україна"
202,50.02314,33.94144,Великі Сорочинці,"Великі Сорочинці, Україна"
203,50.92731,30.76048,Десна,"Десна, Україна"
204,51.4213,26.14469,Володимирець,"Володимирець, Україна"
205,48.05896,32.16641,Бобринець,"Бобринець, Україна"
206,51.81865,31.94504,Щорс,"Щорс, Україна"
207,49.20875,37.24849,Ізюм,"Ізюм, Україна"
208,48.1635241,30.5943455,Побузьке,"Побузьке, Україна"
209,49.28656,35.76153,Кегичівка,"Кегичівка, Україна"
210,48.23331,38.21137,Єнакієве,"Єнакієве, Україна"
211,50.31036,34.89879,Охтирка,"Охтирка, Україна"
212,50.75104,33.47471,Ромни,"Ромни, Україна"
213,51.76877,32.24813,Корюківка,"Корюківка, Україна"
