id,route_name,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,company_name,number_of_buses,count
41,Рівне-Луцьк,Рівне,Луцьк,0,Укртрансбезпека ,7/8,щоденно,один ,"М2, М3, В, ІІ, ІІІ",NA,NA,NA,1+1,1
43,Донецьк-Бердянськ,Донецьк,Бердянськ,8296598829594331390,Укртрансбезпека ,7/8,щоденно,один ,"М3, ІІІ",Починаючи з 2009 року,23.09.2014-22.09.2019,"ТОВ ""Горлівське АТП"", адреса вул.Пушкінська, 1, м.Горлівка, Донецька область, АД 076670",1+1,1
44,Тульчин - Кривий Ріг,Тульчин,Кривий Ріг,0,Укртрансбезпека ,8/9,щоденно,один ,"М3, ІІІ",NA,NA,NA,2+1,1
45,Київ-Оржиця,Київ,Оржиця,8645370933384813307,Укртрансбезпека ,9/10,Прямий та зворотній рейси виконуються Пон.Пт.Суб.Нед.,один ,"М3, ІІІ",Починаючи з 2008 року,23.03.2015-25.03.2020,"ТОВ ""АВТОПАС - К"", адреса:вул.Металургів, 22, м.Бровари, Київська область, 07400, АВ 561170 ",1+1,1
46,Стрий-Чернівці,Стрий,Чернівці,0,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",NA,NA,NA,1+1,1
48,Піщанка-Київ,Піщанка,Київ,6310795000111757833,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",Починаючи з 1996 року,11.04.2015-10.04.2020,"ПрАТ ""Тульчинське АТП-10507"", адреса: вул.Польова,1, с.Нестерварка, Тульчинський район, Вінницька область, 23600, АГ 504834",1+1,1
49,Теофіполь-Рівне,Теофіполь,Рівне,7239310884416565769,Укртрансбезпека ,9/10,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2006 року,22.02.2014-24.02.2019,"ФОП Козак Л.О., адреса: вул. Шевченка, буд.13, с.Лисогірка, Теофіпольський район, Хмельницька область, 30614",1+1,1
50,Устинівка-Миколаїв,Устинівка,Миколаїв,0,Укртрансбезпека ,9/10,Прямий та зворотній рейси виконуються Вівт.Чт.Суб.,один ,"М2, М3, В, ІІ, ІІІ",NA,NA,NA,1+1,1
52,Херсон-Мелітополь,Херсон,Мелітополь,3856106203801030552,Укртрансбезпека ,9/10,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,13.12.2011-12.12.2016,"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",NA,1
57,Харків - Дніпро,Харків,Дніпро,2361155095988357674,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,06.11.2018-05.11.2023,"ТОВ "" Фірма Ікарус"", адреса: вул.Сіриківська, 12, м.Харків, 61017, 
№ 43Л",1+1,1
58,Острожець-Луцьк,Острожець,Луцьк,1528818939696425156,Укртрансбезпека ,11/12,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2002 року,19.02.2015-18.02.2020,"ФОП Прибиш П.Я., адреса:вул.Миру, 10, с.Острожець, Млинівський район, Рівненська область, 35100, АГ 584583",1+1,1
59,Київ-Червоноград,Київ,Червоноград,8540422903427980302,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",Починаючи з 1994 року,09.02.2014-08.02.2019,"ТзДВ ""Червоноградське АТП 14628"", адреса: вул.Св.Володимира, 113, м.Червоноград, Львівська область, 80100, АГ 504823",2+1,1
61,Бердянськ-Донецьк,Бердянськ,Донецьк,0,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",NA,NA,NA,1+1,1
62,Голованівськ - Київ ,Голованівськ,Київ,0,Укртрансбезпека ,11/12,щоденно,один ,"М3, ІІІ",NA,NA,NA,1+1,1
66,Луганськ-Донецьк ,Луганськ,Донецьк,0,Укртрансбезпека ,13/14,щоденно,один ,"М3, ІІІ",NA,NA,NA,1+1,1
69,Хмельницький-Яремча,Хмельницький,Яремча,4567233328678315939,Укртрансбезпека ,13/14,щоденно, один,"М3, ІІІ",Починаючи з 1989 року,27.05.2015-26.05.2020,"ПП ""Яртранс"", адреса: вул. Гагаріна, буд. 5,, м.Хмельницький, АД 076623",2+1,1
70,Київ-Корюківка,Київ,Корюківка,4148295424222560352,Укртрансбезпека ,13/14,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,17.01.2013-16.01.2018,"ПП Курганський В.П., адреса:вул.Яблунева, 1, кв.35, с.Олександрівка, Чернігівський район, Чернігівська область, 15584, АГ 587995",1+1,1
