id,route_name,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,company_name,number_of_buses,count
1433,Косів-Львів,Косів,Львів,3210629315538505396,Укртрансбезпека ,311/312,щоденно,один,"М3, ІІІ",Починаючи з 1990 року,17.03.2011-16.03.2016,"ТЗОВ ""Львівське АТП-14631"", адреса: вул.Пластова, 10, м.Львів, 79056, АВ550341",2+1,1
1435,Тернопіль-Вінниця,Тернопіль,Вінниця,1906563555313723133,Укртрансбезпека ,311/312,щоденно,один,"М3, ІІІ",Починаючи з 1995 року,19.02.1015-18.02.2020,"ФОП Олійник В.М., адреса: вул. Огієнка, буд. 26, м.Волочиськ, Хмельницька область, АГ 587274",1+1,1
1437,Дніпропетровськ-Полтава,Дніпропетровськ,Полтава,8851860013575201057,Укртрансбезпека ,311/312,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,17.03.2013-16.03.2018,"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",1+1,1
1438,Велика Лепетиха-Мелітополь,Велика Лепетиха,Мелітополь,0,Укртрансбезпека ,311/312,Прямий та зворотній рейси виконуються Пон.Пт.Суб.Нед.,один,"М3, ІІІ",NA,NA,NA,1+1,1
1439,Київ-Тростянець,Київ,Тростянець,0,Укртрансбезпека ,311/312,щоденно,один,"М3, ІІІ",NA,NA,NA,1+1,1
1440,Кіровоград-Скадовськ,Кіровоград,Скадовськ,0,Укртрансбезпека ,311/312,щоденно,один,"М3, ІІІ",NA,NA,NA,2+1,1
1443,Київ-Олевськ,Київ,Олевськ,4180780895566397390,Укртрансбезпека ,313/314,щоденно,один,"М3, ІІІ",Починаючи з 2008 року,01.07.2014-30.06.2019,"ПП ""Рім-Богдан"", адреса: вул. Східна, 88/2, м.Житомир, АЕ 572588",1+1,1
1445,Троїцьке-Харків,Троїцьке,Харків,0,Укртрансбезпека ,313/314,Прямий та зворотній рейси виконуються Пт.Нед.,один,"М3, ІІІ",NA,NA,NA,1+1,1
1448,Світловодськ-Кривий Ріг,Світловодськ,Кривий Ріг,2868974049715825678,Укртрансбезпека ,313/314,щоденно,один,"М3, ІІІ",Починаючи з 2005 року,31.12.2011-30.12.2016,"ПАТ ""Світловодське АТП-13507"", адреса: вул.Комсомольська, 38, м.Світловодськ, Кіровоградська область, АЕ 421019",1+1,1
1452,Кременець-Кам'янка,Кременець,"Кам""янка",0,Укртрансбезпека ,315/316,щоденно,один,"М3, ІІІ",NA,NA,NA,1+1,1
1456,Марганець-Кирилівка,Марганець,Кирилівка,3042750134415458987,Укртрансбезпека ,317/318,в період з 01.06 по 01.10 виконується щоденно,один,"М3, ІІІ",Починаючи з 1984 року,16.03.2011-15.03.2016,"ПП ""Експрес-АТП 11211"", адреса: вул. Нікопольська, 1, м.Марганець, Дніпропетровська область, АД 033775",1+1,1
1457,Іванопіль-Київ,Іванопіль,Київ,7087968075108586914,Укртрансбезпека ,317/318,щоденно,один,"М3, ІІІ",Починаючи з 2000 року,18.03.2014-17.04.2019,"ТОВ ""Бердичівське АТП 11837"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, 13312, АГ 592009",1+1,1
1459,Львів-Підмихайлівці,Львів,Підмихайлівці,2362221677816600440,Укртрансбезпека ,317/318,щоденно,один,"М2, М3, В, ІІ, ІІІ",Починаючи з 2011 року,26.12.2015-25.12.2020,"ТДВ ""Миколаївське АТП 14627"", адреса: Львівське шосе, 1, м.Миколаїв, Львівська область, 81600, АГ 504902 ",1+1,1
1461,Слов'янськ-Харків,Слов'янськ,Харків,4074642225790498354,Укртрансбезпека ,319/320,щоденно,один,"М3, ІІІ",Починаючи з 2005 року,20.10.2011-19.10.2016,"ФОП Яцура С.В., адреса: пров. Пролетарський, 19, м.Слов'янськ, Донецька область, АГ 504526",1+1,1
1463,Рівне-Вінниця,Рівне,Вінниця,569879310973330352,Укртрансбезпека ,319/320,щоденно,один,"М3, ІІІ",Починаючи з 2001 року,17.01.2013-16.01.2018,"ФОП Кожушко В.І., адреса: вул.Приходька, 41, м.Рівне, АЕ 572646",1+1,1
1465,Плужне-Київ,Плужне,Київ,3015929822692859344,Укртрансбезпека ,319/320,щоденно,один,"М3, ІІІ",Починаючи з 1997 року,02.07.2011-01.07.2016,"ФОП Павлюк В.І., адреса: с.Соснівка, Шумський район, Тернопільська область, АЕ 421266",1+1,1
1467,Нова Каховка-Сімферополь,Нова Каховка,Сімферополь,0,Укртрансбезпека ,319/320,щоденно,один,"М3, ІІІ",NA,NA,NA,1+1,1
1470,Голованівськ-Одеса,Голованівськ,Одеса,1029832299021365217,Укртрансбезпека ,321/322,щоденно,один,"М3, ІІІ",Починаючи з 2002 року,08.09.2014-26.09.2018,"МПП ""Руслана-Авто"", адреса: вул. Якуба Колоса, 11, кв. 57, м.Київ, АГ 592892",1+1,1
1471,Самбір-Тернопіль,Самбір,Тернопіль,5065717590498578659,Укртрансбезпека ,321/322,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,14.05.2014-13.05.2019,"МКП ""Транс-Екіпаж"", адреса: вул.Миру, 244-А, с.Заколоть, Дрогобицький район, Львівська область, АЕ 421788",1+1,1
1473,Дніпродзеджинськ-Комсомольськ,Дніпродзержинськ,Комсомольськ,3752722057719322466,Укртрансбезпека ,321/322,щоденно,один,"М3, ІІІ",Починаючи з 2011 року,29.01.2015-28.01.2020,"ПП ""Матеріал-Сервіс"", адреса: Західний проїзд, 1-А, м.Дніпродзержинськ, Дніпропетровська область, АД 033061",1+1,1
1478,Стрілкове-Сімферополь,Стрілкове,Сімферополь,0,Укртрансбезпека ,323/324,"Прямий та зворотній рейси виконуються Пон.Вівт.Пт.Суб.Нед.; з 01.06 по 30.09 до Стрілкове б/в ""Астрава""
з 03.10 по 31.05 до м.Генічеськ щорічно",один,"М3, ІІІ",NA,NA,NA,1+1,1
1479,Ясень-Львів,Ясень,Львів,5220092006246789088,Укртрансбезпека ,323/324,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,21.10.2011-20.10.2016,"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",1+1,1
1480,Артемівськ-Бердянськ,Артемівськ,Бердянськ,3722208244168163000,Укртрансбезпека ,323/324,щоденно,один,"М3, ІІІ",Починаючи з 1993 року,18.08.2011-17.08.2016,"ФОП Гончар С.О., адреса: вул.Єфремова, 40, м.Горлівка, Донецька область, 84635, АГ 509555",1+1,1
1481,Володимирець-Луцьк,Володимирець,Луцьк,1939142727383197852,Укртрансбезпека ,323/324,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1993 року,05.07.2014-04.07.2019,"ТОВ ""Володимирецьтранссервіс"", адреса: вул.Соборна, 2- Г, смт.Володимирець, Володимирецький район, Рівненська область,АД 065162 ",1+1,1
1484,Калуш-Львів,Калуш,Львів,5220092006246789088,Укртрансбезпека ,325/326,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 1992 року,22.09.2011-21.09.2016,"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",1+1,1
1485,Кривий Ріг-Полтава,Кривий Ріг,Полтава,1566241834839462389,Укртрансбезпека ,325/326,щоденно,один,"М3, ІІІ",Починаючи з 1998 року,18.03.2014-17.03.2019,"ТОВ ""Автотранссервіс"", адреса: Лоцманський узвіз, 8, м.Дніпропетровськ, 49005, АГ 588977",1+1,1
1488,Малин-Вінниця,Малин,Вінниця,3910502469272132825,Укртрансбезпека ,327/328,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,21.08.2014-20.08.2019,"ТОВ ""Житомирстаравто"", адреса: вул.Перемоги, буд.54, кв.161, м.Житомир, АВ 561535",1+1,1
1489,Кобеляки-Дніпропетровськ,Кобеляки,Дніпропетровськ,4423528277947128639,Укртрансбезпека ,327/328,Прямий та зворотній рейси виконуються Пон.Пт.Суб.Нед.,один,"М3, ІІІ",Починаючи з 1993 року,24.09.2015-23.09.2020,"ТОВ ""Днепртуртранс"", адреса: вул. Мартенівська, буд. 46, м.Дніпропетровськ, АГ 592841",1+1,1
1490,Севастополь-Ізмаїл,Севастополь,Ізмаїл,1119535883430193886,Укртрансбезпека ,327/328,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,11.12.2013-15.04.2018-паритет,"ТОВ ""Кримські перевезення"", адреса: вул. Гоголя, 22, м.Сімферополь, АР Крим, АД 077461",1+1,1
1495,Кривий Ріг-Кирилівка,Кривий Ріг,Кирилівка,6138143282378117453,Укртрансбезпека ,329/330,щоденно,один,"М3, ІІІ",Починаючи з 1985 року,18.05.2011-17.05.2016,"ТОВ ""ТСК-Авто"", адреса: вул. Урицького, буд. 4, м.Кривий Ріг, Дніпропетровська область, 50004, АВ 616229",1+1,1
1496,Трускавель-Вінниця,Трускавець,Вінниця,3291416865667590923,Укртрансбезпека ,329/330,щоденно,один,"М3, ІІІ",Починаючи з 1995 року,20.03.2014-19.03.2019,"ПП ""Волюс"", адреса: вул. Островського, буд. 77, м.Бар, Вінницька область, АЕ 585055",2+1,1
1498,Сарни-Луцьк,Сарни,Луцьк,2456034545568368456,Укртрансбезпека ,329/330,щоденно,один,"М3, ІІІ",Починаючи з 2011 року,26.03.2015-25.03.2020,"ФОП Котельчук С.М., адреса: вул.Васильєва, 9, м.Ківерці, Волинська область, АГ 591929",1+1,1
1501,Щастя-Донецьк,Щастя,Донецьк,8581185529586202130,Укртрансбезпека ,329/330,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,28.10.2010-27.10.2015,"ПП ""Компанія ""Щастя-Автотранс"", адреса: вул.Донецька, 123, кв.11, м.Щастя, м.Луганськ, АЕ 268977",1+1,1
1502,Миколаїв-Ялта,Миколаїв,Ялта,0,Укртрансбезпека ,329/330,щоденно,один,"М3, ІІІ",NA,NA,NA,2+1,1
1504,Красний Луч-Донецьк,Красний Луч,Донецьк,0,Укртрансбезпека ,331/332,Прямий та зворотній рейси виконуються Пон.Пт.,один,"М2, М3, В, ІІІ",NA,NA,NA,1+1,1
1505,Чигирин-Київ,Чигирин,Київ,7221505341497868246,Укртрансбезпека ,331/332,Прямий та зворотній рейси виконуються Пт.Нед.,один,"М3, ІІІ",Починаючи з 1999 року,29.08.2015-28.08.2020,"ТОВ ""Сервіс-Авто-2005"", адреса: вул.Героїв Дніпра, 65, кв.61, м.Черкаси, АЕ 187027",1+1,1
1507,Дніпропетровськ-Приморське,Дніпропетровськ,Приморське,8851860013575201057,Укртрансбезпека ,331/332,в період з 01.06 по 01.09 виконується щоденно,один,"М3, ІІІ",Починаючи з 2005 року,15.09.2011-14.09.2016,"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",1+1,1
1508,Луцьк-Кузнецовськ,Луцьк,Кузнецовськ,5237706652855731517,Укртрансбезпека ,331/332,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2005 року,16.06.2011-15.06.2016,"СПД-ФО Терещук О.О., адреса: вул.Гнатюка, 14, м.Луцьк, АА 784767",1+1,1
1509,Монастирище-Одеса,Монастирище,Одеса,6808524112615386023,Укртрансбезпека ,331/332,Прямий та зворотній рейси виконуються Пон.Пт.,один,"М3, ІІІ",Починаючи з 1996 року,16.03.2011-15.03.2016,"ФОП Присяжнюк В.О., адреса: вул. Леніна, 2, кв.26, м.Іллінці, Вінницька область, АВ 551103",1+1,1
1511,Лисянка-Київ,Лисянка,Київ,4355489806343907977,Укртрансбезпека ,333/334,щоденно,один,"М3, ІІІ",Починаючи з 2005 року,04.07.2016-16.09.2018,"ФОП Задульський О.С., адреса: вул.Маяковського, 22, смт.Лисянка, Лисянський район, Черкаська область, АЕ 187061",1+1,1
1513,Глухів-Полтава,Глухів,Полтава,2645961435086094278,Укртрансбезпека ,333/334,щоденно,один,"М3, ІІІ",Починаючи з 1991 року,25.02.2014-24.02.2019,"ФОП Гулаков Л.І., адреса: вул.Паризької Комуни,11, м.Глухів, Сумська область, АГ 591978",2+1,1
1514,Запоріжжя-Маріуполь,Запоріжжя,Маріуполь,3656444651900389893,Укртрансбезпека ,333/334,щоденно,один,"М3, ІІІ",Починаючи з 1985 року,11.04.2015-10.04.2020,"ТОВ ""ЕТАЛОН"", адреса:  вул. Східна, буд.12, м.Запоріжжя, АВ 532184",1+1,1
1517,Кривий Ріг-Одександрія,Кривий Ріг,Одександрія,6207030654183003174,Укртрансбезпека ,333/334,Прямий та зворотній рейси виконуються Сер.Суб.Нед.,один,"М2, М3, В, ІІІ",Починаючи з 1983 року,17.01.2013-16.01.2018,"ФОП Прохоренко Ю.В., адреса: вул.Леніна, 10, с.Пустельникове, Олександрійський район, Кіровоградська область, АД 062580",1+1,1
1518,Словечне-Київ,Словечне,Київ,5051051185977225870,Укртрансбезпека ,333/334,Прямий та зворотній рейси виконуються Суб.Нед.,один,"М3, ІІІ",Починаючи з 2008 року,01.10.2011-30.09.2016,"ВАТ ""Овруцьке АТП 11847"", адреса: вул. Б.Хмельницького,162, м.Овруч, Житомирська область, АЕ 189738",1+1,1
1520,Кременчук-Кирилівка,Кременчук,Кирилівка,0,Укртрансбезпека ,333/334,щоденно,один,"М3, ІІІ",NA,NA,NA,1+1,1
1521,Кривий Ріг-Ялта,Кривий Ріг,Ялта,0,Укртрансбезпека ,335/336,в період з 01.05 по 01.10 виконується щоденно,один,"М3, ІІІ",NA,NA,NA,2+1,1
1523,Старокостянтинів-Вінниця,Старокостянтинів,Вінниця,6468633350781682393,Укртрансбезпека ,335/336,щоденно,один,"М3, ІІІ",Починаючи з 1988 року,29.09.2011-28.09.2016,"ФОП Степанишина І.А., адреса: вул.Миру,1/33, кв.3, м.Старокостянтинів, Старокостянтинівський район, Хмельницька область, АГ 587602",1+1,1
1524,Попасна-Артеміськ,Попасна,Артеміськ,6905504271043799663,Укртрансбезпека ,335/336,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2006 року,28.10.2010-27.10.2015,"ПП ""АТП ""ЕТАЛОН"", адреса: вул.Бахмутського, 26-Б, м.Первомайськ, Луганська область, АД 062585",1+1,1
1525,Копичинці-Чернівці,Копичинці,Чернівці,1586054386790813669,Укртрансбезпека ,335/336,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2007 року,18.03.2014-17.03.2019,"ФОП Бойко А.Г., адреса: с.Сидорів, Гусятинський район, Тернопільська область, АГ 585923",1+1,1
1527,Тернопіль-Коломия,Тернопіль,Коломия,7451054067135941390,Укртрансбезпека ,335/336,щоденно,один,"М3, ІІІ",Починаючи з 1991 року,23.06.2011-22.06.2016,"ПАТ ""Коломийське АТП"", адреса:пр-т М.Грушевського, 94, м.Коломия, Івано-Франківська область, 78200, АГ 593931",2+1,1
1528,Миргород-Суми,Миргород,Суми,8181116521892812855,Укртрансбезпека ,335/336,щоденно,один,"М3, ІІІ",Починаючи з 1998 року,12.08.2011-11.08.2016,"ФОП Замана П.І., адреса: вул. Білопільське шосе, 23, кв.108, м.Суми, АВ 525739",1+1,1
1530,Луцьк-Червоноград,Луцьк,Червоноград,848856767841197891,Укртрансбезпека ,335/336,щоденно,один,"М3, ІІІ",Починаючи з 2010 року,25.05.2014-24.05.2019,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1,1
1531,Луцьк-Ужгород,Луцьк,Ужгород,0,Укртрансбезпека ,335/336,щоденно,один,"М3, ІІІ",NA,NA,NA,1+1,1
1532,Сніжне-Ялта,Сніжне,Ялта,8141947222713414458,Укртрансбезпека ,335/336,щоденно,один,"М3, ІІІ",Починаючи з 1995 року,22.09.2013-21.09.2018,"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",2+1,1
1535,Бердичів-Київ,Бердичів,Київ,688331633626942326,Укртрансбезпека ,337/338,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,19.06.2014-18.06.2019,"ТОВ ""Транспассервіс"", адреса: вул.Чапаєва, 4, м.Бердичів, Житомирська область, АВ 532491",1+1,1
1536,Кіровоград-Севастополь,Кіровоград,Севастополь,925510290047060441,Укртрансбезпека ,337/338,щоденно,один,"М3, ІІІ",Починаючи з 1999 року,17.01.2013-16.01.2018-паритет,"ТОВ ""Автомобільна  компанія ""Транспортні лінії України"", адреса: вул.Виставочна, 2-В, м.Кіровоград, 25014, АГ 586996",2+1,1
1537,Дніпропетровськ-Куп'янськ,Дніпропетровськ,Куп'янськ,7024615132038497266,Укртрансбезпека ,337/338,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,22.11.2012-21.11.2017,"ФОП Капленко О.В., адреса: Лісова, буд. 35, м.Куп'янськ, Харківська область, АЕ 421241",2+1,1
1540,Ромни-Харків,Ромни,Харків,2893715155176716434,Укртрансбезпека ,339/340,щоденно,один,"М3, ІІІ",Починаючи з 1997 року,09.05.2015-08.05.2020,"ТОВ ""Авто-ОВІ"", адреса: проспект Московський, буд. 248, корп. Г, кв. 42, м.Харків, АЕ 421550",1+1,1
1542,Лючки-Чернівці,Лючки,Чернівці,0,Укртрансбезпека ,339/340,щоденно,один,"М2, М3, В, ІІІ",NA,NA,NA,1+1,1
1543,Красноармійськ-Бердянськ,Красноармійськ,Бердянськ,8890462751879643811,Укртрансбезпека ,339/340,щоденно,один,"М3, ІІІ",Починаючи з 1985 року,20.06.2015-19.06.2020,"ТОВ ""Добропільське АТП"", адреса: вул. Артема, буд. 56, м.Димитров, Красноармійський район, Донецька область, АЕ 420043",1+1,1
1545,Тульчин-Нетішин,Тульчин,Нетішин,6310795000111757833,Укртрансбезпека ,341/342,щоденно,один,"М3, ІІІ",Починаючи з 1995 року,23.09.2014-22.09.2019,"ПрАТ ""Тульчинське АТП-10507"", адреса: вул.Польова,1, с.Нестерварка, Тульчинський район, Вінницька область, 23600, АГ 504834",2+1,1
1546,Одеса-Херсон,Одеса,Херсон,2432733808398524515,Укртрансбезпека ,341/342,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,07.06.2012-06.06.2017,"ПП ""Посполіта Сервіс"", адреса: вул. Колонтаївська, 67, м.Одеса, АЕ 593995",1+1,1
1547,Дніпропетровськ-Стрілкове,Дніпропетровськ,Стрілкове,1730273972075553678,Укртрансбезпека ,341/342,щоденно,один,"М3, ІІІ",Починаючи з 1987 року,23.06.2011-22.06.2016,"ТДВ ""Дніпропетровське АТП-11228"", адреса: вул. Берегова, 210, м.Дніпропетровськ, 49021",2+1,1
1548,Херсон-Кіровоград,Херсон,Кіровоград,9087621431471251993,Укртрансбезпека ,341/342,"Прямий рейс виконується Пон.Сер.Пт.Нед.
Зворотній рейс виконується Вівт.Чт.Суб.",один,"М3, ІІІ",Починаючи з 1989 року,22.09.2011-21.09.2016,"ПрАТ ""Херсонське АТП 16527"", адреса: Новомиколаївське шосе, 9, м.Херсон, 73034, АГ 504980",2+1,1
1549,Балта-Миколаїв,Балта,Миколаїв,7667183426923393744,Укртрансбезпека ,341/342,щоденно,один,"М3, ІІІ",Починаючи з 2011 року,29.07.2015-28.07.2020,"ТДВ ""Оріон-Авто"", адреса: вул. Казарського, 4, м.Миколаїв, 54007, АВ 562984",1+1,1
1550,Тернопіль-Городенка,Тернопіль,Городенка,1008905102856535491,Укртрансбезпека ,341/342,щоденно,один,"М2, М3, В, ІІІ",Починаючи з 2006 року,24.09.2015-23.09.2020,"ПП ""Нов-Транс-Авто"", адреса: вул. Котовського, буд. 106-А, м.Новоселиця, Чернівецька область, АЕ 421060",1+1,1
1551,Дніпропетровськ-Кременчук,Дніпропетровськ,Кременчук,8490368344519810742,Укртрансбезпека ,341/342,щоденно,один,"М3, ІІІ",Починаючи з 1996 року,26.01.2014-25.01.2019,"ТОВ ""АТП-15307"", адреса: вул. Київська, буд. 65/2, м.Кременчук, Полтавська область, АЕ 266557",1+1,1
1552,Харків-Суми,Харків,Суми,236956998699508820,Укртрансбезпека ,343/344,щоденно,один,"М3, ІІІ",Починаючи з 2006 року,25.03.2014-24.03.2019,"ПП Синявін О.С., адреса: вул.Черепіна, 84-А, кв.91, м.Суми, АВ 532044",1+1,1
1554,Марганець-Харків,Марганець,Харків,0,Укртрансбезпека ,343/344,Прямий та зворотній рейси виконуються Пон.Вівт.Чт.Пт.Суб.Нед.,один,"М3, ІІІ",NA,NA,NA,1+1,1
1556,Тернопіль-Калуш,Тернопіль,Калуш,5220092006246789088,Укртрансбезпека ,343/344,щоденно,один,"М3, ІІІ",Починаючи з 1990 року,17.07.2014-16.07.2019,"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",1+1,1
1558,Київ-Погребище,Київ,Погребище,2399705439284969868,Укртрансбезпека ,343/344,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,17.07.2014-16.07.2019,"ТОВ ""УШ АТП 10943"", адреса:вул.Михайла Донця, буд.17/46, м.Київ, 01326, АЕ 421372 ",1+1,1
1562,Южноукраїнськ-Одеса,Южноукраїнськ,Одеса,0,Укртрансбезпека ,345/346,щоденно,один,"М3, ІІІ",NA,NA,NA,1+1,1
1563,Бучач-Львів,Бучач,Львів,7130228877770151505,Укртрансбезпека ,345/346,Прямий та зворотній рейси виконуються Чт.Пт.Суб.Нед.,один,"М3, ІІІ",Починаючи з 1992 року,28.09.2014-27.09.2019,"ФОП Павликівський С.О., адреса: вул.Генерала Шухевича, буд.31-А, кв.6, м.Бучач, Тернопільська область, АВ 525683",1+1,1
1564,Ічня-Київ,Ічня,Київ,0,Укртрансбезпека ,345/346,Прямий та зворотній рейси виконуються Пт.Нед.,один,"М2, М3, В, ІІІ",NA,NA,NA,1+1,1
1566,Жовті Води-Кіровоград,Жовті Води,Кіровоград,5084270897248702467,Укртрансбезпека ,345/346,щоденно,один,"М3, ІІІ",Починаючи з 1987 року,01.02.2012-31.01.2017,"ПАТ ""АТП-11210"", адреса: вул. Під'їздна,1, м.Жовті Води, Дніпропетровська область, АГ 593048",1+1,1
1569,Гайсин-Хмельницький,Гайсин,Хмельницький,5534723716971321125,Укртрансбезпека ,347/348,щоденно,один,"М3, ІІІ",Починаючи з 1993 року,25.02.2014-24.02.2019,"ПрАТ ""Гайсинське АТП 10506"", адреса: вул.Плеханова,135, м.Гайсин, Вінницька область, АГ 503328",1+1,1
1570,Котовськ-Кривий Ріг,Котовськ,Кривий Ріг,0,Укртрансбезпека ,347/348,щоденно,один,"М3, ІІІ",NA,NA,NA,2+1,1
1572,Ромни-Київ,Ромни,Київ,1967988002276464975,Укртрансбезпека ,347/348,щоденно,один,"М3, ІІІ",Починаючи з 1992 року,18.11.2011-17.11.2016,"ТОВ ""Магнум"", адреса: вул. Качалова, буд.5-Д, м.Київ, АЕ 265169",1+1,1
1573,Кузнецовськ-Тернопіль,Кузнецовськ,Тернопіль,124325870900769226,Укртрансбезпека ,347/348,щоденно,один,"М3, ІІІ",Починаючи з 1998 року,16.03.2011-15.03.2016,"ФОП Грицай А.П., адреса: м-н Перемоги, 17, кв.71, м.Кузнецовськ, Рівненська область, АД 076843",1+1,1
1576,Чернівці-Калуш,Чернівці,Калуш,5220092006246789088,Укртрансбезпека ,349/350,щоденно,один,"М3, ІІІ",Починаючи з 1990 року,17.07.2014-16.07.2019,"ПАТ ""Калуське АТП"", адреса: вул.Глібова, 52, м.Калуш, Івано-Франківська область, 77303, АГ 593999",1+1,1
1577,Лазурне-Київ,Лазурне,Київ,2804899772807368733,Укртрансбезпека ,349/350,щоденно,один,"М3, ІІІ",Починаючи з 1985 року,12.08.2011-11.08.2016,"ПП ""Корсар"", адреса: вул. Гагаріна, 132, м.Скадовськ, Херсонська область, АЕ 572416",2+1,1
1578,Бучач-Львів,Бучач,Львів,8661452406628516600,Укртрансбезпека ,349/350,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,06.08.2014-05.08.2019,"ТОВ ""Бучацьке АТП 16139"", адреса: вул.C.Бандери,  10, м.Бучач, Тернопільська область, 48403, АВ 532596",1+1,1
1579,Знам'янка-Черкаси,Знам'янка,Черкаси,0,Укртрансбезпека ,349/350,щоденно,один,"М2, М3, В, ІІІ",NA,NA,NA,1+1,1
1580,Кам'янець-Хмальницький,Кам'янець,Хмальницький,9202533753639767865,Укртрансбезпека ,349/350,Прямий та зворотній рейси виконуються Пон.Вівт.Чт.Пт.Суб.Нед.,один,"М3, ІІІ",Починаючи з 2007 року,29.01.2015-28.01.2020,"ФОП Кисіль А.М., адреса: вул.Куйбишева, 17, м.Іллінці, Вінницька область, АЕ 573179",1+1,1
1581,Чорнобай-Київ,Чорнобай,Київ,0,Укртрансбезпека ,351/352,щоденно,один,"М3, ІІІ",NA,NA,NA,1+1,1
1582,Київ-Погребище,Київ,Погребище,5488145631412530676,Укртрансбезпека ,351/352,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,25.04.2014-24.04.2019,"ПрАТ ""Погребищенське АТП 10537"", адреса: вул. Б.Хмельницького,126, м.Погребище, Вінницька область, АГ 503329",1+1,1
1586,Лозова-Дніпропетровськ,Лозова,Дніпропетровськ,0,Укртрансбезпека ,351/352,Прямий та зворотній рейси виконуються Пон.Сер.Пт.Суб.Нед.,один,"М3, ІІІ",NA,NA,NA,1+1,1
1588,Рівне-Світязь,Рівне,Світязь,0,Укртрансбезпека ,351/352,щоденно,один,"М3, ІІІ",NA,NA,NA,1+1,1
1589,Вишково-Київ,Вишково,Київ,3907259316589216182,Укртрансбезпека ,353/354,щоденно,один,"М3, ІІІ",Поччинаюччи з 1989 року,30.09.2015-29.09.2020,"ФОП Бакал С.В., адреса: вул. Остапа Вишні, буд.8, м.Жашків, Черкаська область, АГ 504740",2+1,1
1591,Київ-Ромни,Київ,Ромни,8165521642910824650,Укртрансбезпека ,353/354,Прямий та зворотній рейси виконуються Пон.Пт.,один,"М3, ІІІ",Починаючи з 1998 року,30.03.2011-29.03.2006,"ТОВ ""СІС"", адреса: проспект Карла Маркса , буд.53, м.Дніпропетровськ, АГ 593941",1+1,1
1593,Первомайськ-Артемівськ,Первомайськ,Артемівськ,0,Укртрансбезпека ,355/356,щоденно,один,"М2, М3, В, І, ІІ, ІІІ",NA,NA,NA,1+1,1
1595,Кузнецовськ-Київ,Кузнецовськ,Київ,9142230160518170083,Укртрансбезпека ,355/356,щоденно,один,"М3, ІІІ",Починаючи з 1993 року,09.05.2015-08.05.2020,"ФОП Усович В.Ф., адреса: м-н Будівельників, 16, корп.1, кв.13, м.Кузнецовськ, Рівненська область, АГ 585007 ",1+1,1
1596,Лебедин-Харків,Лебедин,Харків,3130784393559963357,Укртрансбезпека ,355/356,щоденно,один,"М3, ІІІ",Починаючи з 1994 року,31.12.2011-30.12.2016,"ФОП Будник І.М., адреса: вул. Каленіченків, 133, м.Лебедин, Сумська область, АЕ 572526",1+1,1
1597,Дніпропетровськ-Кирилівка,Дніпропетровськ,Кирилівка,0,Укртрансбезпека ,355/356,в період з 01.06 по 31.08 виконується щоденно,один,"М3, ІІІ",NA,NA,NA,1+1,1
1600,Донецьк-Лебедин,Донецьк,Лебедин,3461156638587038922,Укртрансбезпека ,357/358,щоденно,один,"М3, ІІІ",Починаючи з 1990 року,01.09.2010-31.08.2015,"ФОП Гаврилко І.В., адреса: вул. 8-го Березня,13-А, м.Лебедин, Сумська область, АГ 593913",1+1,1
1602,Тернопіль-Долина,Тернопіль,Долина,9213935738860859824,Укртрансбезпека ,357/358,щоденно,один,"М3, ІІІ",Починаючи з 2007 року,31.12.2011-30.12.2016,"ПАТ ""Тернопільське АТП-16127"", адреса: вул.Галицька, 38, м.Тернопіль, АГ 587907",1+1,1
